"Gem List"," Base Value"," Total Gem Value"," Multiplier"," Overall Value"," Overall Minus Gem Value"
"Ruby Ruby Sapphire",6000,10000,1.2,19200,9200
"Ruby Sapphire Sapphire",6000,11000,1.2,20400,9400
"Ruby Ruby Ruby",6000,9000,1.4,21000,12000
"Diamond Ruby Ruby",6000,13000,1.2,22800,9800
"Sapphire Sapphire Sapphire",6000,12000,1.4,25200,13200
"Diamond Sapphire Sapphire",6000,15000,1.2,25200,10200
"Diamond Ruby Sapphire",6000,14000,1.3,26000,12000
"Diamond Diamond Ruby",6000,17000,1.2,27600,10600
"Diamond Diamond Sapphire",6000,18000,1.2,28800,10800
"Diamond Diamond Diamond",6000,21000,1.4,37800,16800
