Gem List, Base Value, Total Gem Value, Multiplier, Overall Value, Overall Minus Gem Value
Emerald Emerald Emerald Ruby Ruby, 19000, 21000, 1.8, 72000, 51000
Alexandrite Emerald Emerald Ruby Ruby, 19000, 22000, 1.5, 61500, 39500
Beryl Emerald Emerald Ruby Ruby, 19000, 25000, 1.8, 79200, 54200
Alexandrite Alexandrite Emerald Ruby Ruby, 19000, 23000, 1.5, 63000, 40000
Alexandrite Beryl Emerald Ruby Ruby, 19000, 26000, 1.4, 63000, 37000
Beryl Beryl Emerald Ruby Ruby, 19000, 29000, 1.7, 81600, 52600
Alexandrite Alexandrite Alexandrite Ruby Ruby, 19000, 24000, 1.8, 77400, 53400
Alexandrite Alexandrite Beryl Ruby Ruby, 19000, 27000, 1.8, 82800, 55800
Alexandrite Beryl Beryl Ruby Ruby, 19000, 30000, 1.7, 83300, 53300
Beryl Beryl Beryl Ruby Ruby, 19000, 33000, 1.9, 98800, 65800
Emerald Emerald Emerald Ruby Sapphire, 19000, 22000, 1.4, 57400, 35400
Alexandrite Emerald Emerald Ruby Sapphire, 19000, 23000, 1.6, 67200, 44200
Beryl Emerald Emerald Ruby Sapphire, 19000, 26000, 1.5, 67500, 41500
Alexandrite Alexandrite Emerald Ruby Sapphire, 19000, 24000, 1.6, 68800, 44800
Alexandrite Beryl Emerald Ruby Sapphire, 19000, 27000, 1.6, 73600, 46600
Beryl Beryl Emerald Ruby Sapphire, 19000, 30000, 1.4, 68600, 38600
Alexandrite Alexandrite Alexandrite Ruby Sapphire, 19000, 25000, 1.4, 61600, 36600
Alexandrite Alexandrite Beryl Ruby Sapphire, 19000, 28000, 1.5, 70500, 42500
Alexandrite Beryl Beryl Ruby Sapphire, 19000, 31000, 1.4, 70000, 39000
Beryl Beryl Beryl Ruby Sapphire, 19000, 34000, 1.7, 90100, 56100
Diamond Emerald Emerald Emerald Ruby, 19000, 25000, 1.4, 61600, 36600
Alexandrite Diamond Emerald Emerald Ruby, 19000, 26000, 1.6, 72000, 46000
Beryl Diamond Emerald Emerald Ruby, 19000, 29000, 1.5, 72000, 43000
Alexandrite Alexandrite Diamond Emerald Ruby, 19000, 27000, 1.6, 73600, 46600
Alexandrite Beryl Diamond Emerald Ruby, 19000, 30000, 1.6, 78400, 48400
Beryl Beryl Diamond Emerald Ruby, 19000, 33000, 1.4, 72800, 39800
Alexandrite Alexandrite Alexandrite Diamond Ruby, 19000, 28000, 1.4, 65800, 37800
Alexandrite Alexandrite Beryl Diamond Ruby, 19000, 31000, 1.5, 75000, 44000
Alexandrite Beryl Beryl Diamond Ruby, 19000, 34000, 1.4, 74200, 40200
Beryl Beryl Beryl Diamond Ruby, 19000, 37000, 1.7, 95200, 58200
Emerald Emerald Emerald Sapphire Sapphire, 19000, 23000, 1.8, 75600, 52600
Alexandrite Emerald Emerald Sapphire Sapphire, 19000, 24000, 1.5, 64500, 40500
Beryl Emerald Emerald Sapphire Sapphire, 19000, 27000, 1.5, 69000, 42000
Alexandrite Alexandrite Emerald Sapphire Sapphire, 19000, 25000, 1.5, 66000, 41000
Alexandrite Beryl Emerald Sapphire Sapphire, 19000, 28000, 1.6, 75200, 47200
Beryl Beryl Emerald Sapphire Sapphire, 19000, 31000, 1.5, 75000, 44000
Alexandrite Alexandrite Alexandrite Sapphire Sapphire, 19000, 26000, 1.8, 81000, 55000
Alexandrite Alexandrite Beryl Sapphire Sapphire, 19000, 29000, 1.5, 72000, 43000
Alexandrite Beryl Beryl Sapphire Sapphire, 19000, 32000, 1.5, 76500, 44500
Beryl Beryl Beryl Sapphire Sapphire, 19000, 35000, 1.8, 97200, 62200
Diamond Emerald Emerald Emerald Sapphire, 19000, 26000, 1.4, 63000, 37000
Alexandrite Diamond Emerald Emerald Sapphire, 19000, 27000, 1.6, 73600, 46600
Beryl Diamond Emerald Emerald Sapphire, 19000, 30000, 1.6, 78400, 48400
Alexandrite Alexandrite Diamond Emerald Sapphire, 19000, 28000, 1.6, 75200, 47200
Alexandrite Beryl Diamond Emerald Sapphire, 19000, 31000, 2, 100000, 69000
Beryl Beryl Diamond Emerald Sapphire, 19000, 34000, 1.6, 84800, 50800
Alexandrite Alexandrite Alexandrite Diamond Sapphire, 19000, 29000, 1.4, 67200, 38200
Alexandrite Alexandrite Beryl Diamond Sapphire, 19000, 32000, 1.6, 81600, 49600
Alexandrite Beryl Beryl Diamond Sapphire, 19000, 35000, 1.6, 86400, 51400
Beryl Beryl Beryl Diamond Sapphire, 19000, 38000, 1.4, 79800, 41800
Diamond Diamond Emerald Emerald Emerald, 19000, 29000, 1.8, 86400, 57400
Alexandrite Diamond Diamond Emerald Emerald, 19000, 30000, 1.5, 73500, 43500
Beryl Diamond Diamond Emerald Emerald, 19000, 33000, 1.5, 78000, 45000
Alexandrite Alexandrite Diamond Diamond Emerald, 19000, 31000, 1.5, 75000, 44000
Alexandrite Beryl Diamond Diamond Emerald, 19000, 34000, 1.6, 84800, 50800
Beryl Beryl Diamond Diamond Emerald, 19000, 37000, 1.5, 84000, 47000
Alexandrite Alexandrite Alexandrite Diamond Diamond, 19000, 32000, 1.8, 91800, 59800
Alexandrite Alexandrite Beryl Diamond Diamond, 19000, 35000, 1.5, 81000, 46000
Alexandrite Beryl Beryl Diamond Diamond, 19000, 38000, 1.5, 85500, 47500
Beryl Beryl Beryl Diamond Diamond, 19000, 41000, 1.8, 108000, 67000
