"Gem List"," Base Value"," Total Gem Value"," Multiplier"," Overall Value"," Overall Minus Gem Value"
"Emerald Ruby Ruby",15000,11000,1.2,31200,20200
"Alexandrite Ruby Ruby",15000,12000,1.2,32400,20400
"Emerald Sapphire Sapphire",15000,13000,1.2,33600,20600
"Alexandrite Sapphire Sapphire",15000,14000,1.2,34800,20800
"Emerald Ruby Sapphire",15000,12000,1.3,35100,23100
"Alexandrite Ruby Sapphire",15000,13000,1.3,36400,23400
"Beryl Ruby Sapphire",15000,16000,1.2,37200,21200
"Beryl Sapphire Sapphire",15000,17000,1.2,38400,21400
"Diamond Emerald Ruby",15000,15000,1.3,39000,24000
"Alexandrite Diamond Ruby",15000,16000,1.3,40300,24300
"Diamond Emerald Sapphire",15000,16000,1.3,40300,24300
"Beryl Diamond Ruby",15000,19000,1.2,40800,21800
"Diamond Diamond Emerald",15000,19000,1.2,40800,21800
"Alexandrite Diamond Sapphire",15000,17000,1.3,41600,24600
"Beryl Ruby Ruby",15000,15000,1.4,42000,27000
"Alexandrite Diamond Diamond",15000,20000,1.2,42000,22000
"Beryl Diamond Sapphire",15000,20000,1.3,45500,25500
"Beryl Diamond Diamond",15000,23000,1.2,45600,22600
